Occupation Title,Typical Entry-Level Education,Occupation Code,Employment 2020,Employment 2030,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average",Median Annual Wage 2020,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Nuclear power reactor operators    * Nuclear Control Room Operator* Nuclear Reactor Operator* Nuclear Station Operator* Reactor Operator,High school diploma or equivalent,51-8011,5.3,3.6,-1.8,-32.9,0.2,"104,040",7,None,4,Long-term on-the-job training,3
Power distributors and dispatchers    * Power System Dispatcher* Steam Plant Control Room Operator* Steam and Power Panel Operator* Substation Operator,High school diploma or equivalent,51-8012,10,9.3,-0.7,-7.3,0.8,"95,100",7,None,4,Long-term on-the-job training,3
Power plant operators    * Hydroelectric Plant Operator* Power Plant Control Room Operator* Powerhouse Operator* Turbine Room Attendant,High school diploma or equivalent,51-8013,33.6,29,-4.6,-13.6,2.5,"84,650",7,None,4,Long-term on-the-job training,3
"Stationary engineers and boiler operators    * Boiler Engineer* Boiler Operator¿¿¿* Boiler Plant Operator* Boiler Room Operator* Heating, Ventilation, and Air Conditioning (HVAC) Mechanic Boiler Operator* High Pressure Boiler Operator",High school diploma or equivalent,51-8021,30.7,32.5,1.8,5.8,4,"64,680",7,None,4,Long-term on-the-job training,3
Water and wastewater treatment plant and system operators    * Industrial Waste Treatment Technician* Lead Sewage Plant Operator* Liquid Waste Treatment Plant Operator* Sewage Plant Operator* Waste Treatment Operator* Wastewater Operator* Water Plant Operator* Water Treatment Technician,High school diploma or equivalent,51-8031,122.1,119,-3.1,-2.5,10.5,"49,090",7,None,4,Long-term on-the-job training,3
Chemical plant and system operators    * Chemical Plant Operator* Chemical Treatment Plant Technician* Nitric Acid Plant Operator* Nitrogen Operator* Pharmaceutical Manufacturing Machine Operator,High school diploma or equivalent,51-8091,29.5,29.4,-0.1,-0.5,3,"65,960",7,None,4,Moderate-term on-the-job training,4
Gas plant operators    * Gas Controller* Gas Plant Dispatcher* Gas Plant Operator* Gas Plant Technician* Natural Gas Plant Technician,High school diploma or equivalent,51-8092,15.1,14.8,-0.3,-1.8,1.5,"72,970",7,None,4,Long-term on-the-job training,3
"Petroleum pump system operators, refinery operators, and gaugers    * Hydrotreater Operator* Oil Gauger* Oil Pipeline Dispatcher* Oil Pipeline Operator* Oil Refiner* Petroleum Plant Operator* Petroleum Refinery Control Panel Operator* Petroleum Refinery Operator* Petroleum Refining Equipment Operator",High school diploma or equivalent,51-8093,40.6,42.8,2.3,5.6,4.4,"78,840",7,None,4,Moderate-term on-the-job training,4
"Plant and system operators, all other    * Asphalt Plant Operator* Concrete Batch Plant Operator* Lime Filter Operator* Sand Plant Attendant",High school diploma or equivalent,51-8099,14.9,15.4,0.5,3.1,1.6,"58,960",7,None,4,Moderate-term on-the-job training,4
Chemical equipment operators and tenders    * Acid Purification Equipment Operator* Chemical Machine Tender* Chemical Process Equipment Operator* Chemical Processor* Chemical Treatment Operator,High school diploma or equivalent,51-9011,93.5,88.6,-4.9,-5.3,8.6,"50,510",7,None,4,Moderate-term on-the-job training,4
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders    * Brewmaster* Fermentation Operator* Fermenter* Linseed Oil Temperer* Milk Pasteurizer* Milk Processor* Molasses Preparer* Pasteurizer* Winemaker",High school diploma or equivalent,51-9012,49.6,52.1,2.5,5,5.3,"43,100",7,None,4,Moderate-term on-the-job training,4
"Crushing, grinding, and polishing machine setters, operators, and tenders    * Beveling and Edging Machine Operator* Beveller Operator* Blanchard Grinder Operator* Crusher Plant Operator* Cullet Crusher and Washer* Industrial Coffee Grinder* Marble and Granite Polisher* Mix Crusher Operator* Pulverizer Operator",High school diploma or equivalent,51-9021,32.6,32.5,-0.1,-0.4,3.5,"39,370",7,None,4,Moderate-term on-the-job training,4
"Grinding and polishing workers, hand    * Hand Buffer* Hand Sander* Jewelry Grinder* Jewelry Polisher* Knife Grinder* Ring Polisher",No formal educational credential,51-9022,23.7,20.5,-3.2,-13.6,2.1,"31,750",8,None,4,Moderate-term on-the-job training,4
"Mixing and blending machine setters, operators, and tenders    * Asphalt Blender* Clay Mixer* Concrete Batcher* Dye Mixer* Glue Mixer* Ink Blender* Ink Mixer* Plaster Mixer* Resin Mixer",High school diploma or equivalent,51-9023,118.1,122.7,4.6,3.9,13.5,"38,690",7,None,4,Moderate-term on-the-job training,4
"Cutters and trimmers, hand    * Fur Trimmer* Hand Cloth Cutter* Hand Fabric Cutter* Portable Machine Cutter",No formal educational credential,51-9031,8.1,5.7,-2.4,-29.7,0.6,"31,630",8,None,4,Short-term on-the-job training,5
"Cutting and slicing machine setters, operators, and tenders    * Dog Food Shredder Operator* Glass Cutting Machine Operator* Insulation Cutter* Paper Cutter* Paper Slitter* Rubber Trimmer* Shearing Machine Tender* Trimming Operator",High school diploma or equivalent,51-9032,53.6,51.7,-1.9,-3.5,6.2,"36,980",7,None,4,Moderate-term on-the-job training,4
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders    * Bowling Ball Molder* Brick Maker* Cigarette Stamper* Extrusion Press Operator* Paper Baling Machine Operator* Rubber Extrusion Operator* Sugar Presser* Tuber Operator",High school diploma or equivalent,51-9041,65.6,66.3,0.8,1.2,6.7,"36,560",7,None,4,Moderate-term on-the-job training,4
"Furnace, kiln, oven, drier, and kettle operators and tenders    * Calciner Operator* Dry Kiln Operator* Induction Furnace Operator* Lime Kiln Operator* Lumber Kiln Operator* Rubber Curer* Soap Drier Tender* Tunnel Kiln Operator",High school diploma or equivalent,51-9051,17.8,18.7,0.9,4.9,1.8,"40,670",7,None,4,Moderate-term on-the-job training,4
"Inspectors, testers, sorters, samplers, and weighers    * Ampoule Examiner* Bag Grader* Cigarette Examiner* Compressed Gas Tester* Machined Parts Quality Inspector* Petroleum Sampler* Quality Assurance Inspector* Quality Control Inspector* Quality Inspector* Spark Plug Tester",High school diploma or equivalent,51-9061,557.9,489.8,-68.1,-12.2,54.9,"40,460",7,None,4,Moderate-term on-the-job training,4
Jewelers and precious stone and metal workers    * Diamond Grader* Diamond Polisher* Diamond Setter* Facetor* Gem Cutter* Gemologist* Goldsmith* Jewelry Repairer* Jewelsmith* Lapidarist* Pewterer* Silversmith,High school diploma or equivalent,51-9071,32.4,32.1,-0.3,-0.8,3.8,"41,900",7,None,4,Long-term on-the-job training,3
Dental laboratory technicians    * Crown Ceramist* Crown and Bridge Dental Lab Technician* Crown and Bridge Technician* Dental Ceramist* Dental Laboratory Worker* Dental Mold Maker* Dental Technician* Orthodontic Technician,High school diploma or equivalent,51-9081,33.1,37.2,4,12.2,4.9,"42,110",7,None,4,Moderate-term on-the-job training,4
Medical appliance technicians    * Arch-Support Maker* Brace Maker* Hearing Aid Repair Technician* Orthopaedic Technician* Orthopaedic Technologist* Orthotic Fabricator Technician* Orthotic Finish Grinding Technician* Orthotics Fitter* Orthotics Technician* Prosthetics Fabrication Technician* Prosthetics Lab Technician* Prosthetics Technician* Surgical Appliance Fitter,High school diploma or equivalent,51-9082,14.6,16.7,2.1,14.4,2.2,"41,750",7,None,4,Moderate-term on-the-job training,4
Ophthalmic laboratory technicians    * Contact Lens Cutter* Contact Lens Technician* Eyeglass Assembler* Eyeglass Lens Cutter* Eyeglass Maker* Lens Grinder* Lens Grinder and Polisher* Lens Mounter* Precision Lens Centerer and Edger* Prescription Eyeglass Maker,High school diploma or equivalent,51-9083,27.5,30.6,3.1,11.2,4,"34,440",7,None,4,Moderate-term on-the-job training,4
Packaging and filling machine operators and tenders    * Bottle Capper* Bottle Line Worker* Bottle Packer* Can Filler* Can Sealer* Keg Filler* Potato Chip Packaging Machine Operator* Tea Bag Packer,High school diploma or equivalent,51-9111,371.8,392,20.2,5.4,43.1,"32,640",7,None,4,Moderate-term on-the-job training,4
"Painting, coating, and decorating workers    * Ceramic Painter* China Decorator* Glass Decorator* Lacquerer* Sign Painter",No formal educational credential,51-9123,12.4,13.2,0.8,6.3,1.3,"34,780",8,None,4,Moderate-term on-the-job training,4
"Coating, painting, and spraying machine setters, operators, and tenders",High school diploma or equivalent,51-9124,143.4,154.2,10.8,7.5,15.9,"39,060",7,None,4,Moderate-term on-the-job training,4
Semiconductor processing technicians    * Electronic Semiconductor Processor* Semiconductor Assembler* Wafer Fabricator,High school diploma or equivalent,51-9141,33.2,32.6,-0.6,-1.7,3.5,"40,500",7,None,4,Moderate-term on-the-job training,4
Photographic process workers and processing machine operators    * Digital Imaging Technician* Digital Photo Printer* Digital Photo Technician* Digital Retoucher* Film Developing Machine Operator* Film Printer* Film Process Operator* Film Processor* Photo Lab Specialist* Photo Lab Technician* Photo Machine Operator* Photo Print Specialist* Photo Retoucher* Print Retoucher,High school diploma or equivalent,51-9151,9.3,8.5,-0.8,-8.7,1.3,"34,720",7,None,4,Short-term on-the-job training,5
Computer numerically controlled tool operators,High school diploma or equivalent,51-9161,158.4,154.5,-3.9,-2.5,16.5,"42,260",7,None,4,Moderate-term on-the-job training,4
Computer numerically controlled tool programmers,Postsecondary nondegree award,51-9162,27.1,34.5,7.4,27.4,4.1,"57,740",5,None,4,Moderate-term on-the-job training,4
Adhesive bonding machine operators and tenders    * Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator,High school diploma or equivalent,51-9191,12.5,12.6,0.1,0.9,1.5,"36,280",7,None,4,Moderate-term on-the-job training,4
"Cleaning, washing, and metal pickling equipment operators and tenders    * Acid Dipper* Bottle Washing Machine Operator* Degreaser Operator* Glass Cleaning Machine Tender* Immersion Metal Cleaner* Metal Pickling Equipment Operator* Pickle House Operator",High school diploma or equivalent,51-9192,14.7,15.7,0.9,6.3,1.7,"32,230",7,None,4,Moderate-term on-the-job training,4
Cooling and freezing equipment operators and tenders    * Ammonia Refrigeration Worker* Chiller Operator* Chiller Tender* Freezer Operator* Refrigerating Machine Operator* Refrigeration Operator,High school diploma or equivalent,51-9193,8.4,8.9,0.5,6,1,"37,650",7,None,4,Moderate-term on-the-job training,4
Etchers and engravers    * Engraver* Glass Etcher* Laser Engraver* Machine Engraver* Metal Engraver* Pantograph Engraver* Rotary Engraver* Rubber Engraver,High school diploma or equivalent,51-9194,9.9,10.1,0.2,2.4,1.3,"31,790",7,None,4,Moderate-term on-the-job training,4
"Molders, shapers, and casters, except metal and plastic    * Almond Paste Molder* Burial Vault Maker* Cigar Roller* Clay Modeler* Concrete Vault Maker* Glass Bender* Glass Block Bender* Glass Blower* Glass Presser* Glass Tube Bender* Mannequin Mold Maker* Neon Glass Bender* Neon Glass Blower* Neon Molder* Neon Tube Bender* Rubber Molder* Stone Carver",High school diploma or equivalent,51-9195,46.3,53.3,7,15.1,5.7,"35,440",7,None,4,Long-term on-the-job training,3
"Paper goods machine setters, operators, and tenders    * Box Fabricator* Carton Making Machine Operator* Corrugated Box Machine Operator* Corrugator Machine Operator* Corrugator Operator* Envelope Machine Operator* Napkin Machine Operator* Paper Bag Machine Operator* Paper Cone Machine Tender* Paper Machine Operator",High school diploma or equivalent,51-9196,102.3,94.9,-7.4,-7.3,10.2,"39,820",7,None,4,Moderate-term on-the-job training,4
Tire builders    * Auto Tire Recapper* Retreader* Tire Finisher* Tire Molder* Tire Retreader,High school diploma or equivalent,51-9197,20.6,20.5,-0.2,-0.8,2,"46,270",7,None,4,Moderate-term on-the-job training,4
Helpers--production workers    * Blending Tank Helper* Commercial Baker Helper* Machinist Helper* Slitter Helper* Tailor Helper* Welder Helper* Woodworker Helper,High school diploma or equivalent,51-9198,238,227.2,-10.8,-4.5,31.8,"30,500",7,None,4,Short-term on-the-job training,5
"Production workers, all other",High school diploma or equivalent,51-9199,203.6,220.3,16.7,8.2,24.6,"31,420",7,None,4,Moderate-term on-the-job training,4
Aircraft cargo handling supervisors,High school diploma or equivalent,53-1041,11,12.3,1.3,11.9,1.4,"53,610",7,Less than 5 years,2,None,6
"First-line supervisors of transportation and material-moving workers, except aircraft cargo handling supervisors",High school diploma or equivalent,53-1047,536.1,567,30.9,5.8,61.5,"54,870",7,Less than 5 years,2,None,6
"Airline pilots, copilots, and flight engineers    * Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (Air Transport Pilot Certificate Required)* Charter Pilot (Airline)* Regional Airline Pilot",Bachelor's degree,53-2011,74.7,85,10.3,13.7,9.6,"160,970",3,Less than 5 years,2,Moderate-term on-the-job training,4
Commercial pilots    * Aerial Crop Duster* Aerial Hurricane Hunter* Aerial Sprayer* Agricultural Pilot* Air Ambulance Captain* Air Tour Pilot* Balloon Pilot* Charter Pilot (Commercial Pilot Certificate Required)* Charter Pilot (Commercial)* Commercial Helicopter Pilot* Corporate Pilot* EMS Helicopter Pilot* Emergency Medical Service Helicopter Pilot* Emergency Medical Service Rotary Wing Pilot* Executive Pilot* Flight Instructor (Commercial Pilots)* Helicopter Pilot,High school diploma or equivalent,53-2012,39.2,43.6,4.5,11.4,4.9,"93,300",7,None,4,Moderate-term on-the-job training,4
Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Controller* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller,Associate's degree,53-2021,24.5,25.5,0.9,3.8,2.5,"130,420",4,None,4,Long-term on-the-job training,3
Airfield operations specialists    * Aviation Operations Specialist* Flight Operations Coordinator,High school diploma or equivalent,53-2022,10.4,11.7,1.3,12.9,1.2,"51,330",7,None,4,Long-term on-the-job training,3
Flight attendants    * Airline Flight Attendant* Airplane Flight Attendant* Flight Steward,High school diploma or equivalent,53-2031,102.5,133.6,31.1,30.4,17.6,"59,050",7,Less than 5 years,2,Moderate-term on-the-job training,4
"Ambulance drivers and attendants, except emergency medical technicians    * Ambulance Attendant* Emergency Medical Services (EMS) Driver* Emergency Medical Services Driver",High school diploma or equivalent,53-3011,14.2,16.5,2.3,16.3,1.9,"27,930",7,None,4,Moderate-term on-the-job training,4
Driver/sales workers    * Bakery Deliverer* Bobtailer* Delivery Sales worker* Newspaper Deliverer* Newspaper Delivery Driver* Pizza Delivery Driver* Route Sales Person* Route Salesperson* Sales Route Driver,High school diploma or equivalent,53-3031,458.2,540,81.9,17.9,62.5,"27,960",7,None,4,Short-term on-the-job training,5
Heavy and tractor-trailer truck drivers    * Auto Carrier Driver* Cement Truck Driver* Concrete Mixer Driver* Concrete Mixer Truck Driver* Fuel Truck Driver* Garbage Truck Driver* Line Haul Driver* Logging Truck Driver* Moving Van Driver* Over-the-Road Driver* Semi-Truck Driver* Tanker Driver* Tow Truck Operator,Postsecondary nondegree award,53-3032,"1,951.60","2,073.60",122.1,6.3,231.1,"47,130",5,None,4,Short-term on-the-job training,5
Light truck drivers    * Pharmacy Delivery Driver,High school diploma or equivalent,53-3033,"1,035.80","1,136.80",101.1,9.8,128.3,"37,050",7,None,4,Short-term on-the-job training,5
"Bus drivers, transit and intercity",High school diploma or equivalent,53-3052,165.2,200,34.8,21,24.6,"45,900",7,None,4,Moderate-term on-the-job training,4
"Passenger vehicle drivers, except bus drivers, transit and intercity",No formal educational credential,53-3058,707.4,887.9,180.6,25.5,110.2,"32,320",8,None,4,Short-term on-the-job training,5
